,member_casual,Count,Percentage
Month1,member,279305,65.47387421177243
Month1,casual,147285,34.526125788227574
Month2,member,370646,61.28132507312009
Month2,casual,234181,38.71867492687992
Month3,member,418388,58.140291098888575
Month3,casual,301230,41.859708901111425
Month4,member,436292,56.834755422393016
Month4,casual,331358,43.165244577606984
Month5,member,460563,59.68215339519731
Month5,casual,311130,40.31784660480269
Month6,member,404736,60.73733700896348
Month6,casual,261635,39.26266299103652
Month7,member,360042,67.03282177121017
Month7,casual,177071,32.96717822878985
Month8,member,264126,72.85872701493443
Month8,casual,98392,27.14127298506557
Month9,member,172401,76.93965805786507
Month9,casual,51672,23.06034194213493
Month10,member,120413,83.11624664361199
Month10,casual,24460,16.88375335638801
Month11,member,176001,78.8662149809109
Month11,casual,47163,21.1337850190891
Month12,member,219137,72.63720345921435
Month12,casual,82550,27.36279654078565
